date,Bearing 1,Bearing 2,Bearing 3,Bearing 4
2004-02-12 11:02:39,0.061453,0.073843,0.084462,0.045081
2004-02-12 11:12:39,0.061361,0.075606,0.082837,0.045118
2004-02-12 11:22:39,0.061669,0.073281,0.084886,0.044171
2004-02-12 11:32:39,0.061944,0.074592,0.082623,0.044658
2004-02-12 11:42:39,0.061231,0.074171,0.082021,0.04384
2004-02-12 11:52:39,0.062281,0.075808,0.084373,0.044273
2004-02-12 12:02:39,0.059893,0.075117,0.084504,0.043972
2004-02-12 12:12:39,0.062369,0.075507,0.082236,0.04417
2004-02-12 12:22:39,0.060838,0.074649,0.080554,0.043604
2004-02-12 12:32:39,0.061091,0.07483,0.080785,0.043523
2004-02-12 12:42:39,0.062604,0.075492,0.080622,0.044678
2004-02-12 12:52:39,0.062341,0.075603,0.080395,0.044246
2004-02-12 13:02:39,0.061631,0.075282,0.081002,0.044687
2004-02-12 13:12:39,0.061883,0.075994,0.083308,0.044552
2004-02-12 13:22:39,0.061244,0.074035,0.080163,0.043482
2004-02-12 13:32:39,0.061474,0.075331,0.081759,0.044156
2004-02-12 13:42:39,0.061842,0.075818,0.081509,0.043554
2004-02-12 13:52:39,0.062211,0.075919,0.080892,0.043926
2004-02-12 14:02:39,0.062623,0.076409,0.082298,0.043764
2004-02-12 14:12:39,0.062513,0.074906,0.08181,0.04343
2004-02-12 14:22:39,0.062604,0.076511,0.081138,0.045041
2004-02-12 14:32:39,0.062447,0.076648,0.083573,0.044517
2004-02-12 14:42:39,0.061329,0.075148,0.082571,0.044143
2004-02-12 14:52:39,0.061449,0.076666,0.080874,0.043866
2004-02-12 15:02:39,0.061288,0.075562,0.082175,0.044179
2004-02-12 15:12:39,0.061904,0.075154,0.082514,0.043844
2004-02-12 15:22:39,0.06189,0.075881,0.080265,0.043735
2004-02-12 15:32:39,0.061726,0.075647,0.081357,0.04328
2004-02-12 15:42:39,0.063208,0.075515,0.08135,0.045092
2004-02-12 15:52:39,0.060691,0.076114,0.08007,0.04403
2004-02-12 16:02:39,0.062273,0.076441,0.082005,0.044521
2004-02-12 16:12:39,0.061525,0.077322,0.083417,0.044206
2004-02-12 16:22:39,0.061506,0.075809,0.079354,0.044173
2004-02-12 16:32:39,0.060628,0.076185,0.08224,0.044367
2004-02-12 16:42:39,0.062685,0.076528,0.081331,0.044789
2004-02-12 16:52:39,0.061219,0.075748,0.082367,0.044381
2004-02-12 17:02:39,0.061414,0.076755,0.08168,0.045032
2004-02-12 17:12:39,0.061578,0.077016,0.081989,0.044673
2004-02-12 17:22:39,0.061916,0.075827,0.081084,0.044194
2004-02-12 17:32:39,0.061147,0.075492,0.079662,0.043655
2004-02-12 17:42:39,0.061458,0.075107,0.078588,0.044209
2004-02-12 17:52:39,0.061382,0.076712,0.081844,0.04397
2004-02-12 18:02:39,0.060115,0.07535,0.081259,0.044295
2004-02-12 18:12:39,0.062268,0.076083,0.082186,0.044435
2004-02-12 18:22:39,0.060795,0.074914,0.082783,0.044284
2004-02-12 18:32:39,0.061784,0.076345,0.081283,0.044676
2004-02-12 18:42:39,0.060625,0.074741,0.079505,0.043782
2004-02-12 18:52:39,0.061514,0.076694,0.081017,0.044541
2004-02-12 19:02:39,0.061634,0.076289,0.080076,0.044699
2004-02-12 19:12:39,0.062391,0.075971,0.08021,0.043931
2004-02-12 19:22:39,0.060579,0.076139,0.079994,0.045378
2004-02-12 19:32:39,0.060347,0.074787,0.081324,0.043912
2004-02-12 19:42:39,0.061459,0.076209,0.081615,0.044705
2004-02-12 19:52:39,0.06092,0.076059,0.080234,0.043869
2004-02-12 20:02:39,0.060964,0.075276,0.079479,0.043129
2004-02-12 20:12:39,0.060199,0.074812,0.07935,0.042924
2004-02-12 20:22:39,0.061615,0.076988,0.081461,0.043105
2004-02-12 20:32:39,0.062091,0.075837,0.080928,0.044374
2004-02-12 20:42:39,0.060783,0.075891,0.081367,0.043353
2004-02-12 20:52:39,0.062264,0.075715,0.081276,0.04516
2004-02-12 21:02:39,0.060655,0.076351,0.079167,0.044337
2004-02-12 21:12:39,0.060836,0.07515,0.080728,0.043987
2004-02-12 21:22:39,0.060681,0.076043,0.079277,0.044346
2004-02-12 21:32:39,0.060812,0.076168,0.081372,0.043722
2004-02-12 21:42:39,0.060511,0.07613,0.080503,0.043658
2004-02-12 21:52:39,0.060513,0.076327,0.080492,0.043178
2004-02-12 22:02:39,0.060746,0.076049,0.080589,0.044358
